InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
550016,22707,WRAP MONSTER FUN,25,4/14/2011 10:54,0.42,15416,United Kingdom
575875,22326,ROUND SNACK BOXES SET OF4 WOODLAND,4,11/11/2011 13:06,5.79,,United Kingdom
560895,71459,HANGING JAM JAR T-LIGHT HOLDER,36,7/21/2011 17:12,0.85,13089,United Kingdom
538635,17021,NAMASTE SWAGAT INCENSE,12,12/13/2010 13:32,0.3,17303,United Kingdom
559342,23065,LARGE DECO JEWELLERY STAND,3,7/7/2011 16:59,12.5,14493,United Kingdom
562158,23298,SPOTTY BUNTING,3,8/3/2011 11:45,4.95,15039,United Kingdom
581492,21900,"KEY FOB , SHED",4,12/9/2011 10:03,1.63,,United Kingdom
569561,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,10/5/2011 9:42,0.85,13468,United Kingdom
559056,21094,SET/6 RED SPOTTY PAPER PLATES,12,7/6/2011 9:15,0.85,14645,United Kingdom
578954,22633,HAND WARMER UNION JACK,1,11/27/2011 15:02,2.1,15054,United Kingdom
539631,21328,BALLOONS  WRITING SET,1,12/20/2010 15:03,3.36,,United Kingdom
C575940,23309,SET OF 60 I LOVE LONDON CAKE CASES,-24,11/13/2011 11:38,0.55,17838,United Kingdom
565790,23189,SET OF 12 FORK CANDLES,48,9/7/2011 9:15,2.49,16767,United Kingdom
545425,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,3/2/2011 14:39,2.95,16792,United Kingdom
C553031,21240,BLUE POLKADOT CUP,-3,5/12/2011 19:43,0.85,13908,United Kingdom
568591,35970,ZINC FOLKART SLEIGH BELLS,12,9/28/2011 10:39,1.69,17088,United Kingdom
566060,84923,PINK BUTTERFLY HANDBAG W BOBBLES,1,9/8/2011 15:27,4.13,,United Kingdom
580727,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5,12/5/2011 17:17,10.79,14096,United Kingdom
544666,85152,HAND OVER THE CHOCOLATE   SIGN,3,2/22/2011 15:00,2.1,16907,United Kingdom
569414,22735,RIBBON REEL SOCKS AND MITTENS,1,10/4/2011 10:11,4.13,,United Kingdom
564230,21154,RED RETROSPOT OVEN GLOVE,4,8/24/2011 10:22,3.29,,United Kingdom
563111,20725,LUNCH BAG RED RETROSPOT,20,8/12/2011 11:08,1.65,15249,United Kingdom
569383,22115,METAL SIGN EMPIRE TEA,12,10/3/2011 16:46,0.79,15159,United Kingdom
577804,23570,TRADITIONAL PICK UP STICKS GAME,1,11/21/2011 17:33,1.25,17432,United Kingdom
556784,22750,FELTCRAFT PRINCESS LOLA DOLL,2,6/14/2011 13:15,3.75,14461,United Kingdom
579516,22104,MIRROR MOSAIC CANDLE PLATE,1,11/29/2011 17:52,1.45,17841,United Kingdom
559328,23188,VINTAGE  2 METER FOLDING RULER,12,7/7/2011 15:31,1.65,13743,United Kingdom
543826,22652,TRAVEL SEWING KIT,1,2/14/2011 9:41,3.29,,United Kingdom
544444,22972,CHILDREN'S SPACEBOY MUG,6,2/20/2011 10:51,1.65,13246,United Kingdom
566290,22280,POCKET BAG PINK PAISELY BROWN SPOT,1,9/11/2011 15:24,1.25,14456,United Kingdom
556282,72232,FENG SHUI PILLAR CANDLE,48,6/10/2011 8:24,0.19,15679,United Kingdom
554694,20972,PINK CREAM FELT CRAFT TRINKET BOX,1,5/25/2011 17:06,2.46,,United Kingdom
538524,90005A,JADE GREEN ENAMEL HAIR COMB,2,12/13/2010 9:35,1.95,,United Kingdom
558751,84988,SET OF 72 PINK HEART PAPER DOILIES,3,7/3/2011 11:26,1.45,16009,United Kingdom
575337,20712,JUMBO BAG WOODLAND ANIMALS,1,11/9/2011 14:11,2.08,17867,United Kingdom
578827,22230,JIGSAW TREE WITH WATERING CAN,2,11/25/2011 14:25,1.63,,United Kingdom
576463,22745,POPPY'S PLAYHOUSE BEDROOM,1,11/15/2011 11:37,2.1,17974,United Kingdom
573338,23330,DECORATIVE WICKER HEART MEDIUM,2,10/30/2011 11:47,1.25,14546,United Kingdom
577754,22938,CUPCAKE LACE PAPER SET 6,48,11/21/2011 14:47,1.65,18139,United Kingdom
571717,21992,VINTAGE PAISLEY STATIONERY SET,1,10/18/2011 17:10,1.25,14381,United Kingdom
554808,21166,COOK WITH WINE METAL SIGN,1,5/26/2011 13:01,2.08,17059,United Kingdom
548663,35809a,ENAMEL PINK TEA CONTAINER,1,4/1/2011 14:44,4.13,,United Kingdom
559981,23313,VINTAGE CHRISTMAS BUNTING,8,7/14/2011 11:30,4.95,14562,United Kingdom
558475,21801,CHRISTMAS TREE DECORATION WITH BELL,1,6/29/2011 15:58,0.42,,United Kingdom
572858,22412,METAL SIGN NEIGHBOURHOOD WITCH,2,10/26/2011 12:36,2.1,13571,United Kingdom
550499,22887,NUMBER TILE VINTAGE FONT 8,1,4/18/2011 15:16,4.13,,United Kingdom
549789,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,4/12/2011 12:00,3.75,17160,United Kingdom
551160,20981,12 PENCILS TALL TUBE WOODLAND,12,4/26/2011 15:04,0.85,15237,United Kingdom
571040,22432,WATERING CAN PINK BUNNY,2,10/13/2011 12:59,1.95,15272,United Kingdom
581376,22866,HAND WARMER SCOTTY DOG DESIGN,6,12/8/2011 12:43,2.1,14719,United Kingdom
537399,21328,BALLOONS  WRITING SET,3,12/6/2010 14:31,1.65,13030,United Kingdom
566039,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,9/8/2011 13:38,0.55,14223,United Kingdom
566400,23329,DECORATIVE WICKER HEART LARGE,12,9/12/2011 13:16,1.65,17139,United Kingdom
553675,21713,CITRONELLA CANDLE FLOWERPOT,8,5/18/2011 12:52,2.1,13719,United Kingdom
562843,22697,GREEN REGENCY TEACUP AND SAUCER,2,8/9/2011 17:37,5.79,,United Kingdom
555865,23092,LARGE ANTIQUE WHITE PHOTO FRAME,2,6/7/2011 14:30,7.9,14530,United Kingdom
580360,90119,METALIC LEAVES BAG CHARMS,6,12/2/2011 16:14,2.55,14493,United Kingdom
579777,22178,VICTORIAN GLASS HANGING T-LIGHT,1,11/30/2011 15:13,2.46,,United Kingdom
564818,22197,POPCORN HOLDER,2,8/30/2011 12:10,1.63,,United Kingdom
577331,22229,BUNNY WOODEN PAINTED WITH FLOWER,2,11/18/2011 14:23,0.39,14667,United Kingdom
550470,84006,MAGIC TREE -PAPER FLOWERS,1,4/18/2011 13:49,1.63,,United Kingdom
546729,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,3/16/2011 11:36,4.95,18231,United Kingdom
566787,22900,SET 2 TEA TOWELS I LOVE LONDON,1,9/15/2011 10:31,4.13,,United Kingdom
537240,22135,LADLE LOVE HEART PINK,1,12/6/2010 10:08,0.85,,United Kingdom
546522,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,3/14/2011 12:41,2.95,13319,United Kingdom
550348,84879,ASSORTED COLOUR BIRD ORNAMENT,16,4/18/2011 9:38,1.69,16947,United Kingdom
570011,23313,VINTAGE CHRISTMAS BUNTING,5,10/7/2011 9:44,4.95,16477,United Kingdom
564825,21003,ROSE DU SUD CUSHION COVER,1,8/30/2011 12:26,5.79,,United Kingdom
549436,21654,RIDGED GLASS FINGER BOWL,2,4/8/2011 12:34,0.39,18041,United Kingdom
581492,22379,RECYCLING BAG RETROSPOT,1,12/9/2011 10:03,4.13,,United Kingdom
537209,17003,BROCADE RING PURSE,3,12/5/2010 15:12,0.21,14606,United Kingdom
546321,22465,HANGING METAL STAR LANTERN,12,3/11/2011 9:39,1.65,16475,United Kingdom
538067,22963,JAM JAR WITH GREEN LID,6,12/9/2010 13:59,0.85,15288,United Kingdom
554991,22470,HEART OF WICKER LARGE,1,5/29/2011 14:03,2.95,14823,United Kingdom
548259,22443,GROW YOUR OWN HERBS SET OF 3,1,3/30/2011 11:12,7.95,14099,United Kingdom
571653,22219,LOVEBIRD HANGING DECORATION WHITE,24,10/18/2011 12:17,0.72,14298,United Kingdom
543122,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2/3/2011 14:01,2.95,13819,United Kingdom
569234,21137,BLACK RECORD COVER FRAME,6,10/2/2011 15:33,3.75,17841,United Kingdom
542221,48173C,DOORMAT BLACK FLOCK,3,1/26/2011 12:40,7.95,14978,United Kingdom
551436,22843,BISCUIT TIN VINTAGE GREEN,1,4/28/2011 15:13,6.75,16904,United Kingdom
560433,90129A,PINK GLASS TASSLE BAG CHARM,1,7/18/2011 15:49,1.63,,United Kingdom
545078,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2/28/2011 10:15,16.63,,United Kingdom
549958,22522,CHILDS GARDEN FORK BLUE,4,4/13/2011 13:47,0.85,17589,United Kingdom
566164,22383,LUNCH BAG SUKI DESIGN,22,9/9/2011 11:56,4.96,,United Kingdom
549238,22584,PACK OF 6 PANNETONE GIFT BOXES,6,4/7/2011 11:30,2.55,14667,United Kingdom
541132,21035,SET/2 RED RETROSPOT TEA TOWELS,2,1/14/2011 10:17,5.79,,United Kingdom
565919,22961,JAM MAKING SET PRINTED,1,9/7/2011 16:48,3.29,,United Kingdom
570690,23269,SET OF 2 CERAMIC CHRISTMAS TREES,1,10/11/2011 16:37,2.92,,United Kingdom
548563,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,4/1/2011 10:21,3.75,18118,United Kingdom
548321,48184,DOORMAT ENGLISH ROSE,1,3/30/2011 12:55,7.95,,United Kingdom
547396,22326,ROUND SNACK BOXES SET OF4 WOODLAND,3,3/22/2011 16:54,6.63,,United Kingdom
544323,79144B,PAINTED LIGHTBULB STAR+ MOON,1,2/17/2011 15:51,0.83,,United Kingdom
573695,23556,LANDMARK FRAME COVENT GARDEN,2,10/31/2011 17:13,12.5,15023,United Kingdom
545215,21326,AGED GLASS SILVER T-LIGHT HOLDER,1,2/28/2011 16:47,1.63,,United Kingdom
544089,22723,SET OF 6 HERB TINS SKETCHBOOK,2,2/15/2011 17:51,3.95,,United Kingdom
553050,22501,PICNIC BASKET WICKER LARGE,2,5/13/2011 10:09,9.95,15498,United Kingdom
581451,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,12/8/2011 17:57,8.25,17144,United Kingdom
581134,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/7/2011 13:12,0.95,16368,United Kingdom
541604,22113,GREY HEART HOT WATER BOTTLE,1,1/19/2011 17:23,3.75,14572,United Kingdom
566561,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,9/13/2011 12:13,3.75,18145,United Kingdom
540176,21955,DOORMAT UNION JACK GUNS AND ROSES,10,1/5/2011 12:40,6.75,17511,United Kingdom
546782,48111,DOORMAT 3 SMILEY CATS,2,3/17/2011 9:13,7.95,15291,United Kingdom
548984,21975,PACK OF 60 DINOSAUR CAKE CASES,3,4/5/2011 12:37,0.55,14546,United Kingdom
578278,22992,REVOLVER WOODEN RULER,5,11/23/2011 13:51,1.95,12748,United Kingdom
536674,21161,KEEP OUT BOYS DOOR HANGER,2,12/2/2010 12:16,1.45,15923,United Kingdom
576837,23300,GARDENERS KNEELING PAD CUP OF TEA,4,11/16/2011 15:16,3.29,,United Kingdom
540968,22271,FELTCRAFT DOLL ROSIE,4,1/12/2011 13:40,2.95,17338,United Kingdom
574076,23245,SET OF 3 REGENCY CAKE TINS,3,11/2/2011 15:38,10.79,,United Kingdom
537233,22584,PACK OF 6 PANNETONE GIFT BOXES,24,12/6/2010 9:37,2.55,17428,United Kingdom
C539191,21822,GLITTER CHRISTMAS TREE WITH BELLS,-2,12/16/2010 11:59,1.95,17062,United Kingdom
550320,22061,LARGE CAKE STAND  HANGING STRAWBERY,1,4/17/2011 12:37,9.95,12748,United Kingdom
569004,23509,MINI PLAYING CARDS FUN FAIR,6,9/29/2011 18:18,0.42,14409,United Kingdom
564974,22563,HAPPY STENCIL CRAFT,1,8/31/2011 15:32,2.46,,United Kingdom
562804,22961,JAM MAKING SET PRINTED,12,8/9/2011 14:48,1.45,13355,United Kingdom
566291,22191,IVORY DINER WALL CLOCK,1,9/11/2011 15:31,8.5,12965,United Kingdom
577796,23127,FELTCRAFT GIRL NICOLE KIT,4,11/21/2011 16:53,4.95,15105,United Kingdom
545221,22993,SET OF 4 PANTRY JELLY MOULDS,12,3/1/2011 8:35,1.25,14740,United Kingdom
576840,22263,FELT EGG COSY LADYBIRD,1,11/16/2011 15:23,1.63,,United Kingdom
542431,22457,NATURAL SLATE HEART CHALKBOARD,6,1/28/2011 10:28,2.95,12853,United Kingdom
574312,22385,JUMBO BAG SPACEBOY DESIGN,2,11/3/2011 17:39,2.08,17221,United Kingdom
549126,21497,FANCY FONTS BIRTHDAY WRAP,25,4/6/2011 14:23,0.42,16031,United Kingdom
575875,22839,3 TIER CAKE TIN GREEN AND CREAM,1,11/11/2011 13:06,29.13,,United Kingdom
568325,21326,AGED GLASS SILVER T-LIGHT HOLDER,24,9/26/2011 13:57,0.65,14667,United Kingdom
552277,21327,SKULLS WRITING SET,1,5/8/2011 12:34,1.65,13642,United Kingdom
561521,84944,SET OF 6 KASHMIR FOLKART BAUBLES,13,7/27/2011 17:06,1.65,17870,United Kingdom
538191,22075,6 RIBBONS ELEGANT CHRISTMAS,96,12/10/2010 10:49,1.45,15061,United Kingdom
564838,20727,LUNCH BAG  BLACK SKULL.,3,8/30/2011 12:43,4.13,,United Kingdom
573580,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,10/31/2011 14:21,2.08,,United Kingdom
578344,22979,PANTRY WASHING UP BRUSH,2,11/24/2011 9:21,3.29,,United Kingdom
539988,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,4,12/23/2010 16:06,1.65,18116,United Kingdom
571372,47310M,SMALL POP BOX FUNKY MONKEY,2,10/17/2011 11:55,1.25,17201,United Kingdom
567804,23312,VINTAGE CHRISTMAS GIFT SACK,2,9/22/2011 12:13,4.15,17920,United Kingdom
562104,21212,PACK OF 72 RETROSPOT CAKE CASES,16,8/2/2011 14:31,2.08,,United Kingdom
548166,21169,YOU'RE CONFUSING ME METAL SIGN,1,3/29/2011 13:45,4.13,,United Kingdom
555525,23202,JUMBO BAG VINTAGE LEAF,20,6/5/2011 11:40,2.08,14709,United Kingdom
570514,23204,CHARLOTTE BAG APPLES DESIGN,12,10/11/2011 10:36,0.85,13089,United Kingdom
